frame,t_s,x_mm,y_mm,z_mm
0,0.0000,0.00,934.55,11.47
1,0.0333,0.00,934.24,29.80
2,0.0667,0.00,932.63,48.34
3,0.1000,0.00,929.92,67.00
4,0.1333,0.00,926.41,85.71
5,0.1667,0.00,922.47,104.40
6,0.2000,0.00,918.52,123.00
7,0.2333,0.00,914.98,141.46
8,0.2667,0.00,912.22,159.72
9,0.3000,0.00,910.53,177.73
10,0.3333,0.00,910.08,195.47
11,0.3667,0.00,910.93,212.90
12,0.4000,0.00,912.98,230.00
13,0.4333,0.00,916.02,246.79
14,0.4667,0.00,919.74,263.25
15,0.5000,0.00,923.76,279.40
16,0.5333,0.00,927.64,295.26
17,0.5667,0.00,930.99,310.87
18,0.6000,0.00,933.43,326.25
19,0.6333,0.00,934.67,341.43
20,0.6667,0.00,934.55,356.47
21,0.7000,0.00,934.25,373.54
22,0.7333,0.00,930.51,388.34
23,0.7667,0.00,927.89,406.02
24,0.8000,0.00,924.46,423.81
25,0.8333,0.00,920.59,441.67
26,0.8667,0.00,916.71,459.55
27,0.9000,0.00,915.07,479.22
28,0.9333,0.00,912.31,496.98
29,0.9667,0.00,910.63,514.69
30,1.0000,0.00,910.18,532.32
31,1.0333,0.00,911.02,549.85
32,1.0667,0.00,913.07,567.26
33,1.1000,0.00,916.10,584.54
34,1.1333,0.00,919.82,601.67
35,1.1667,0.00,923.82,618.66
36,1.2000,0.00,927.69,635.50
37,1.2333,0.00,931.03,652.19
38,1.2667,0.00,933.45,668.75
39,1.3000,0.00,934.69,685.17
40,1.3333,0.00,934.55,701.47
41,1.3667,0.00,934.24,719.80
42,1.4000,0.00,932.63,738.34
43,1.4333,0.00,929.92,757.00
44,1.4667,0.00,926.41,775.71
45,1.5000,0.00,922.47,794.40
46,1.5333,0.00,918.52,813.00
47,1.5667,0.00,916.94,834.91
48,1.6000,0.00,912.22,849.72
49,1.6333,0.00,910.53,867.73
50,1.6667,0.00,910.08,885.47
51,1.7000,0.00,910.93,902.90
52,1.7333,0.00,912.98,920.00
53,1.7666,0.00,916.02,936.79
54,1.8000,0.00,919.74,953.25
55,1.8333,0.00,923.76,969.40
56,1.8666,0.00,927.64,985.26
57,1.9000,0.00,930.99,1000.87
58,1.9333,0.00,933.43,1016.25
59,1.9666,0.00,934.67,1031.43
60,2.0000,0.00,934.55,1046.47
61,2.0333,0.00,934.25,1063.54
62,2.0666,0.00,932.65,1080.84
63,2.1000,0.00,929.96,1098.32
64,2.1333,0.00,926.46,1115.95
65,2.1666,0.00,922.53,1133.66
66,2.2000,0.00,918.60,1151.43
67,2.2333,0.00,915.07,1169.22
68,2.2666,0.00,912.31,1186.98
69,2.3000,0.00,910.63,1204.69
70,2.3333,0.00,910.18,1222.32
71,2.3666,0.00,911.02,1239.85
72,2.4000,0.00,913.07,1257.26
73,2.4333,0.00,916.10,1274.54
74,2.4666,0.00,919.82,1291.67
75,2.5000,0.00,923.82,1308.66
76,2.5333,0.00,927.69,1325.50
77,2.5666,0.00,931.03,1342.19
78,2.6000,0.00,933.45,1358.75
79,2.6333,0.00,934.69,1375.17
80,2.6666,0.00,934.55,1391.47
81,2.7000,0.00,934.24,1409.80
82,2.7333,0.00,932.63,1428.34
83,2.7666,0.00,929.92,1447.00
84,2.8000,0.00,926.41,1465.71
85,2.8333,0.00,922.47,1484.40
86,2.8666,0.00,918.52,1503.00
87,2.9000,0.00,914.98,1521.46
88,2.9333,0.00,912.22,1539.72
89,2.9666,0.00,910.53,1557.73
90,3.0000,0.00,910.08,1575.47
91,3.0333,0.00,910.93,1592.90
92,3.0666,0.00,912.98,1610.00
93,3.1000,0.00,916.02,1626.79
94,3.1333,0.00,919.74,1643.25
95,3.1666,0.00,923.76,1659.40
96,3.2000,0.00,927.64,1675.26
97,3.2333,0.00,930.99,1690.87
98,3.2666,0.00,933.43,1706.25
99,3.3000,0.00,934.67,1721.43
100,3.3333,0.00,934.55,1736.47
101,3.3666,0.00,934.25,1753.54
102,3.4000,0.00,932.65,1770.84
103,3.4333,0.00,929.96,1788.32
104,3.4666,0.00,926.46,1805.95
105,3.5000,0.00,922.53,1823.66
106,3.5333,0.00,918.60,1841.43
107,3.5666,0.00,915.07,1859.22
108,3.6000,0.00,912.31,1876.98
109,3.6333,0.00,910.63,1894.69
110,3.6666,0.00,910.18,1912.32
111,3.7000,0.00,911.02,1929.85
112,3.7333,0.00,913.07,1947.26
113,3.7666,0.00,916.10,1964.54
114,3.8000,0.00,919.82,1981.67
115,3.8333,0.00,923.82,1998.66
116,3.8666,0.00,927.69,2015.50
117,3.9000,0.00,931.03,2032.19
118,3.9333,0.00,933.45,2048.75
119,3.9666,0.00,934.69,2065.17
