frame,t_s,x_mm,y_mm,z_mm
0,0.0000,0.00,934.55,11.47
1,0.0333,0.00,934.24,27.55
2,0.0667,0.00,932.63,43.84
3,0.1000,0.00,929.92,60.25
4,0.1333,0.00,926.41,76.71
5,0.1667,0.00,922.47,93.15
6,0.2000,0.00,918.52,109.50
7,0.2333,0.00,914.98,125.71
8,0.2667,0.00,912.22,141.72
9,0.3000,0.00,910.53,157.48
10,0.3333,0.00,910.08,172.97
11,0.3667,0.00,910.93,188.15
12,0.4000,0.00,912.98,203.00
13,0.4333,0.00,916.02,217.54
14,0.4667,0.00,919.74,231.75
15,0.5000,0.00,923.76,245.65
16,0.5333,0.00,927.64,259.26
17,0.5667,0.00,930.99,272.62
18,0.6000,0.00,933.43,285.75
19,0.6333,0.00,934.67,298.68
20,0.6667,0.00,934.55,311.47
21,0.7000,0.00,934.25,326.29
22,0.7333,0.00,932.65,341.34
23,0.7667,0.00,929.96,356.57
24,0.8000,0.00,926.46,371.95
25,0.8333,0.00,922.53,387.41
26,0.8667,0.00,918.60,402.93
27,0.9000,0.00,915.07,418.47
28,0.9333,0.00,912.31,433.98
29,0.9667,0.00,910.63,449.44
30,1.0000,0.00,910.18,464.82
31,1.0333,0.00,911.02,480.10
32,1.0667,0.00,913.07,495.26
33,1.1000,0.00,916.10,510.29
34,1.1333,0.00,919.82,525.17
35,1.1667,0.00,923.82,539.91
36,1.2000,0.00,927.69,554.50
37,1.2333,0.00,931.03,568.94
38,1.2667,0.00,933.45,583.25
39,1.3000,0.00,934.69,597.42
40,1.3333,0.00,934.55,611.47
41,1.3667,0.00,934.24,627.55
42,1.4000,0.00,932.63,643.84
43,1.4333,0.00,929.92,660.25
44,1.4667,0.00,926.41,676.71
45,1.5000,0.00,922.47,693.15
46,1.5333,0.00,918.52,709.50
47,1.5667,0.00,914.98,725.71
48,1.6000,0.00,912.22,741.72
49,1.6333,0.00,910.53,757.48
50,1.6667,0.00,910.08,772.97
51,1.7000,0.00,910.93,788.15
52,1.7333,0.00,912.98,803.00
53,1.7666,0.00,916.02,817.54
54,1.8000,0.00,919.74,831.75
55,1.8333,0.00,923.76,845.65
56,1.8666,0.00,927.64,859.26
57,1.9000,0.00,930.99,872.62
58,1.9333,0.00,933.43,885.75
59,1.9666,0.00,934.67,898.68
60,2.0000,0.00,934.55,911.47
61,2.0333,0.00,934.25,926.29
62,2.0666,0.00,932.65,941.34
63,2.1000,0.00,929.96,956.57
64,2.1333,0.00,926.46,971.95
65,2.1666,0.00,922.53,987.41
66,2.2000,0.00,918.60,1002.93
67,2.2333,0.00,915.07,1018.47
68,2.2666,0.00,912.31,1033.98
69,2.3000,0.00,910.63,1049.44
70,2.3333,0.00,910.18,1064.82
71,2.3666,0.00,911.02,1080.10
72,2.4000,0.00,913.07,1095.26
73,2.4333,0.00,916.10,1110.29
74,2.4666,0.00,919.82,1125.17
75,2.5000,0.00,923.82,1139.91
76,2.5333,0.00,927.69,1154.50
77,2.5666,0.00,931.03,1168.94
78,2.6000,0.00,933.45,1183.25
79,2.6333,0.00,934.69,1197.42
80,2.6666,0.00,934.55,1211.47
81,2.7000,0.00,934.24,1227.55
82,2.7333,0.00,932.63,1243.84
83,2.7666,0.00,929.92,1260.25
84,2.8000,0.00,926.41,1276.71
85,2.8333,0.00,922.47,1293.15
86,2.8666,0.00,918.52,1309.50
87,2.9000,0.00,914.98,1325.71
88,2.9333,0.00,912.22,1341.72
89,2.9666,0.00,910.53,1357.48
90,3.0000,0.00,910.08,1372.97
91,3.0333,0.00,910.93,1388.15
92,3.0666,0.00,912.98,1403.00
93,3.1000,0.00,916.02,1417.54
94,3.1333,0.00,919.74,1431.75
95,3.1666,0.00,923.76,1445.65
96,3.2000,0.00,927.64,1459.26
97,3.2333,0.00,930.99,1472.62
98,3.2666,0.00,933.43,1485.75
99,3.3000,0.00,934.67,1498.68
100,3.3333,0.00,934.55,1511.47
101,3.3666,0.00,934.25,1526.29
102,3.4000,0.00,932.65,1541.34
103,3.4333,0.00,929.96,1556.57
104,3.4666,0.00,926.46,1571.95
105,3.5000,0.00,922.53,1587.41
106,3.5333,0.00,918.60,1602.93
107,3.5666,0.00,915.07,1618.47
108,3.6000,0.00,912.31,1633.98
109,3.6333,0.00,910.63,1649.44
110,3.6666,0.00,910.18,1664.82
111,3.7000,0.00,911.02,1680.10
112,3.7333,0.00,913.07,1695.26
113,3.7666,0.00,916.10,1710.29
114,3.8000,0.00,919.82,1725.17
115,3.8333,0.00,923.82,1739.91
116,3.8666,0.00,927.69,1754.50
117,3.9000,0.00,931.03,1768.94
118,3.9333,0.00,933.45,1783.25
119,3.9666,0.00,934.69,1797.42
