frame,t_s,x_mm,y_mm,z_mm
0,0.0000,0.00,905.05,45.34
1,0.0333,0.00,889.84,46.47
2,0.0667,0.00,874.80,47.50
3,0.1000,0.00,860.09,48.42
4,0.1333,0.00,845.86,49.26
5,0.1667,0.00,832.29,50.00
6,0.2000,0.00,819.51,50.66
7,0.2333,0.00,807.67,51.24
8,0.2667,0.00,796.90,51.74
9,0.3000,0.00,787.31,52.18
10,0.3333,0.00,779.01,52.54
11,0.3667,0.00,772.09,52.83
12,0.4000,0.00,766.63,53.05
13,0.4333,0.00,762.69,53.21
14,0.4667,0.00,760.31,53.31
15,0.5000,0.00,757.43,32.79
16,0.5333,0.00,805.95,30.67
17,0.5667,0.00,854.47,28.08
18,0.6000,0.00,928.71,26.62
19,0.6333,0.00,1004.13,26.62
20,0.6667,0.00,1068.65,26.62
21,0.7000,0.00,1122.27,26.62
22,0.7333,0.00,1164.99,26.62
23,0.7667,0.00,1196.81,26.62
24,0.8000,0.00,1217.73,26.62
25,0.8333,0.00,1227.75,26.62
26,0.8667,0.00,1226.87,26.62
27,0.9000,0.00,1215.09,26.62
28,0.9333,0.00,1192.42,26.62
29,0.9667,0.00,1158.84,26.62
30,1.0000,0.00,1114.36,26.62
31,1.0333,0.00,1058.98,26.62
32,1.0667,0.00,992.70,26.62
33,1.1000,0.00,898.08,25.16
34,1.1333,0.00,867.77,27.26
35,1.1667,0.00,837.44,29.05
36,1.2000,0.00,813.55,30.30
37,1.2333,0.00,823.05,29.82
38,1.2667,0.00,832.43,29.33
39,1.3000,0.00,841.59,28.82
40,1.3333,0.00,850.42,28.32
41,1.3667,0.00,858.83,27.82
42,1.4000,0.00,866.72,27.33
43,1.4333,0.00,874.02,26.86
44,1.4667,0.00,880.64,26.42
45,1.5000,0.00,886.50,26.01
46,1.5333,0.00,891.55,25.65
47,1.5667,0.00,895.73,25.34
48,1.6000,0.00,898.99,25.09
49,1.6333,0.00,901.29,24.92
50,1.6667,0.00,902.62,24.81
