frame,t_s,x_mm,y_mm,z_mm
0,0.0000,0.00,905.05,45.34
1,0.0333,0.00,889.84,46.47
2,0.0667,0.00,874.80,47.50
3,0.1000,0.00,860.09,48.42
4,0.1333,0.00,845.86,49.26
5,0.1667,0.00,832.29,50.00
6,0.2000,0.00,819.51,50.66
7,0.2333,0.00,807.67,51.24
8,0.2667,0.00,796.90,51.74
9,0.3000,0.00,787.31,52.18
10,0.3333,0.00,779.01,52.54
11,0.3667,0.00,772.09,52.83
12,0.4000,0.00,766.63,53.05
13,0.4333,0.00,762.69,53.21
14,0.4667,0.00,760.31,53.31
15,0.5000,0.00,757.43,32.79
16,0.5333,0.00,805.95,30.67
17,0.5667,0.00,854.47,28.08
18,0.6000,0.00,928.71,26.62
19,0.6333,0.00,985.69,26.62
20,0.6667,0.00,1036.66,26.62
21,0.7000,0.00,1081.65,26.62
22,0.7333,0.00,1120.64,26.62
23,0.7667,0.00,1153.64,26.62
24,0.8000,0.00,1180.64,26.62
25,0.8333,0.00,1201.65,26.62
26,0.8667,0.00,1216.66,26.62
27,0.9000,0.00,1225.69,26.62
28,0.9333,0.00,1228.71,26.62
29,0.9667,0.00,1225.75,26.62
30,1.0000,0.00,1216.78,26.62
31,1.0333,0.00,1201.83,26.62
32,1.0667,0.00,1180.88,26.62
33,1.1000,0.00,1153.94,26.62
34,1.1333,0.00,1121.00,26.62
35,1.1667,0.00,1082.07,26.62
36,1.2000,0.00,1037.14,26.62
37,1.2333,0.00,986.22,26.62
38,1.2667,0.00,929.31,26.62
39,1.3000,0.00,872.96,26.93
40,1.3333,0.00,842.64,28.77
41,1.3667,0.00,812.32,30.36
42,1.4000,0.00,821.43,29.90
43,1.4333,0.00,830.84,29.41
44,1.4667,0.00,840.04,28.91
45,1.5000,0.00,848.93,28.41
46,1.5333,0.00,857.42,27.91
47,1.5667,0.00,865.41,27.41
48,1.6000,0.00,872.81,26.94
49,1.6333,0.00,879.55,26.49
50,1.6667,0.00,885.55,26.08
51,1.7000,0.00,890.74,25.71
52,1.7333,0.00,895.07,25.39
53,1.7666,0.00,898.49,25.13
54,1.8000,0.00,900.97,24.94
55,1.8333,0.00,902.47,24.83
