frame,t_s,x_mm,y_mm,z_mm
0,0.0000,-7.92,965.61,53.13
1,0.0333,-6.72,959.88,144.15
2,0.0667,-5.67,956.00,237.84
3,0.1000,-5.39,951.06,331.28
4,0.1333,-5.57,947.31,423.65
5,0.1667,-6.18,945.82,514.23
6,0.2000,-6.49,948.34,602.42
7,0.2333,-5.99,955.16,688.38
8,0.2667,-4.95,963.99,773.22
9,0.3000,-3.81,975.20,858.19
10,0.3333,-2.88,985.35,941.42
11,0.3667,-2.48,989.50,1027.02
12,0.4000,-1.99,985.55,1114.12
13,0.4333,-0.73,976.06,1202.31
14,0.4667,0.93,966.33,1293.59
15,0.5000,2.90,956.45,1385.45
16,0.5333,4.79,948.76,1476.84
17,0.5667,6.09,945.62,1567.41
18,0.6000,6.43,948.02,1656.84
19,0.6333,5.95,954.59,1745.10
20,0.6667,4.90,962.59,1832.28
21,0.7000,3.86,975.82,1922.48
22,0.7333,2.95,986.09,2010.30
23,0.7667,2.59,990.27,2101.02
24,0.8000,2.14,986.19,2193.53
25,0.8333,0.92,976.47,2287.08
26,0.8667,-0.72,966.19,2383.21
27,0.9000,-2.67,956.22,2479.78
28,0.9333,-4.58,948.42,2575.08
29,0.9667,-5.92,945.26,2668.57
30,1.0000,-6.31,947.67,2760.52
31,1.0333,-5.90,954.28,2851.56
32,1.0667,-4.93,962.68,2942.12
33,1.1000,-3.91,974.79,3034.28
34,1.1333,-3.05,985.06,3124.27
35,1.1667,-2.69,989.19,3216.56
36,1.2000,-2.22,984.97,3309.87
37,1.2333,-0.96,975.08,3403.21
38,1.2667,0.73,964.94,3498.27
39,1.3000,2.79,954.67,3592.13
40,1.3333,4.84,946.77,3683.36
41,1.3667,6.36,943.75,3771.11
42,1.4000,6.82,946.42,3855.94
43,1.4333,6.26,953.26,3939.17
44,1.4667,5.09,961.98,4021.64
45,1.5000,3.79,973.59,4104.43
46,1.5333,2.81,984.56,4184.19
47,1.5667,2.59,996.98,4262.75
48,1.6000,2.71,997.99,4340.21
49,1.6333,2.45,987.98,4416.68
