frame,t_s,x_mm,y_mm,z_mm
0,0.0000,-7.93,964.62,48.34
1,0.0333,-6.70,959.69,138.95
2,0.0667,-5.63,954.94,230.77
3,0.1000,-5.30,948.59,322.54
4,0.1333,-5.41,944.41,413.89
5,0.1667,-6.00,942.54,504.09
6,0.2000,-6.34,945.50,592.41
7,0.2333,-5.90,953.51,678.97
8,0.2667,-4.96,964.29,765.39
9,0.3000,-3.86,974.87,852.05
10,0.3333,-2.89,982.91,935.15
11,0.3667,-2.41,986.21,1019.70
12,0.4000,-1.95,983.81,1107.52
13,0.4333,-0.71,975.29,1196.10
14,0.4667,0.90,965.26,1286.39
15,0.5000,2.82,953.90,1376.60
16,0.5333,4.63,945.76,1467.06
17,0.5667,5.90,942.35,1557.32
18,0.6000,6.27,945.38,1646.93
19,0.6333,5.87,953.39,1735.87
20,0.6667,4.95,964.13,1825.59
21,0.7000,3.88,974.65,1916.23
22,0.7333,2.92,982.62,2003.57
23,0.7667,2.51,986.92,2093.70
24,0.8000,2.08,984.49,2186.79
25,0.8333,0.89,975.82,2280.64
26,0.8667,-0.71,965.27,2375.69
27,0.9000,-2.60,953.77,2470.50
28,0.9333,-4.42,945.42,2564.78
29,0.9667,-5.72,941.83,2657.94
30,1.0000,-6.15,944.76,2750.10
31,1.0333,-5.81,952.72,2841.82
32,1.0667,-4.96,963.46,2934.38
33,1.1000,-3.95,974.00,3027.79
34,1.1333,-3.05,982.18,3117.61
35,1.1667,-2.62,985.84,3208.93
36,1.2000,-2.18,983.35,3302.96
37,1.2333,-0.95,974.57,3396.76
38,1.2667,0.68,964.21,3490.80
39,1.3000,2.67,952.45,3582.88
40,1.3333,4.63,943.94,3673.02
41,1.3667,6.12,940.35,3760.42
42,1.4000,6.60,943.38,3845.51
43,1.4333,6.09,951.47,3929.44
44,1.4667,4.99,962.35,4013.68
45,1.5000,3.76,973.00,4098.13
46,1.5333,2.80,981.54,4177.96
47,1.5667,2.57,986.06,4256.94
48,1.6000,2.72,985.01,4336.15
49,1.6333,2.46,978.21,4413.70
50,1.6667,1.81,967.87,4489.25
51,1.7000,1.20,955.99,4566.76
52,1.7333,0.78,937.54,4644.79
53,1.7667,0.36,914.35,4721.14
54,1.8000,-0.10,895.04,4793.57
55,1.8333,-0.35,887.91,4859.10
56,1.8667,-1.18,914.22,4904.74
57,1.9000,-3.14,972.52,4933.70
58,1.9333,-4.99,1040.69,4966.43
59,1.9667,-5.33,1100.75,5020.42
60,2.0000,-5.59,1197.28,5100.38
61,2.0333,-4.88,1283.17,5190.75
62,2.0667,-3.82,1357.23,5288.98
63,2.1000,-2.64,1418.19,5391.70
64,2.1333,-1.48,1465.48,5496.94
65,2.1667,-0.45,1499.14,5604.70
66,2.2000,0.27,1521.56,5711.01
67,2.2333,0.76,1535.71,5811.67
68,2.2667,1.22,1542.24,5902.54
69,2.3000,1.71,1540.64,5987.15
70,2.3333,2.31,1526.68,6072.07
71,2.3667,2.68,1498.07,6156.54
72,2.4000,1.91,1454.37,6237.73
73,2.4333,-0.09,1398.10,6317.90
74,2.4667,-0.71,1331.68,6399.38
75,2.5000,2.97,1258.16,6476.86
76,2.5333,9.74,1175.82,6537.40
77,2.5667,10.84,1077.50,6579.40
78,2.6000,8.06,1045.43,6618.48
79,2.6333,5.53,1013.65,6654.18
80,2.6667,2.75,985.33,6686.08
81,2.7000,-0.39,957.02,6715.98
82,2.7333,-3.70,923.95,6743.13
83,2.7667,-6.99,887.07,6767.22
84,2.8000,-10.08,858.04,6790.96
85,2.8333,-12.84,836.17,6812.64
86,2.8667,-15.14,827.02,6832.31
87,2.9000,-16.89,827.61,6850.37
88,2.9333,-17.95,830.86,6867.30
89,2.9667,-17.96,836.53,6883.48
90,3.0000,-16.81,843.64,6898.70
91,3.0333,-14.68,851.63,6913.02
