frame,t_s,x_mm,y_mm,z_mm
0,0.0000,12.67,88.40,0.00
1,0.0333,12.67,88.40,0.00
2,0.0667,12.67,88.40,0.00
3,0.1000,12.67,88.40,0.00
4,0.1333,12.67,88.40,0.00
5,0.1667,12.67,88.40,0.00
6,0.2000,12.67,88.40,0.00
7,0.2333,12.67,88.40,0.00
8,0.2667,12.67,88.40,0.00
9,0.3000,12.67,88.40,0.00
10,0.3333,12.67,88.40,0.00
11,0.3667,12.67,88.40,0.00
12,0.4000,12.67,88.40,0.00
13,0.4333,12.67,88.40,0.00
14,0.4667,12.67,88.40,0.00
15,0.5000,12.67,88.40,0.00
16,0.5333,12.67,88.40,0.00
17,0.5667,12.67,88.40,0.00
18,0.6000,12.67,88.40,0.00
19,0.6333,5.25,84.11,0.00
20,0.6667,5.25,84.11,0.00
21,0.7000,5.25,84.11,0.00
22,0.7333,5.25,84.11,0.00
23,0.7667,5.25,84.11,0.00
24,0.8000,5.25,84.11,0.00
25,0.8333,5.25,84.11,0.00
26,0.8667,5.25,84.11,0.00
27,0.9000,5.25,84.11,0.00
28,0.9333,5.25,84.11,0.00
29,0.9667,5.25,84.11,0.00
30,1.0000,5.25,84.11,0.00
31,1.0333,5.25,84.11,0.00
32,1.0667,5.25,84.11,0.00
33,1.1000,5.25,84.11,0.00
34,1.1333,5.25,84.11,0.00
35,1.1667,5.25,84.11,0.00
36,1.2000,5.25,84.11,0.00
37,1.2333,5.25,84.11,0.00
38,1.2667,5.25,84.11,0.00
39,1.3000,5.25,84.11,0.00
40,1.3333,5.25,84.11,0.00
41,1.3667,5.25,84.11,0.00
42,1.4000,5.25,84.11,0.00
43,1.4333,5.25,84.11,0.00
44,1.4667,5.25,84.11,0.00
45,1.5000,5.25,84.11,0.00
46,1.5333,5.25,84.11,0.00
47,1.5667,5.25,84.11,0.00
48,1.6000,5.25,84.11,0.00
49,1.6333,5.25,84.11,0.00
50,1.6667,5.25,84.11,0.00
51,1.7000,5.25,84.11,0.00
